Name,Description,Status,Star Count,Pull Count,Last Updated,Low - Fixable,Low - No Fix,Medium - Fixable,Medium - No Fix,High - Fixable,High - No Fix,Critical - Fixable,Critical - No Fix,Unspecified - Fixable,Unspecified - No Fix
tomcat,Apache Tomcat is an open source implementation of the Java Servlet and JavaServer Pages technologies,active,3596,706297294,2023-10-25T03:40:05.76204Z,3,16,1,15,0,0,0,0,0,0
mono,Mono is an open source implementation of Microsoft's .NET Framework,active,512,42192798,2023-10-12T08:55:45.336664Z,1,159,6,0,6,0,0,1,0,0
haskell,Haskell is an advanced purely-functional programming language.,active,467,7766179,2023-10-17T22:44:45.264357Z,3,216,4,4,1,1,1,1,0,0
glassfish,DEPRECATED; abandoned by the maintainer,active,159,1255501,2016-09-24T03:45:58.969886Z,2,1,13,0,43,1,26,0,1,0
maven,Apache Maven is a software project management and comprehension tool.,active,1527,620129893,2023-10-25T03:19:54.724492Z,3,17,1,15,0,0,0,0,0,0
httpd,The Apache HTTP Server Project,active,4579,4357117408,2023-10-19T20:02:53.953983Z,1,28,0,0,0,0,0,1,0,0
sentry,DEPRECATED; https://develop.sentry.dev/self-hosted/,active,651,120454835,2019-10-19T09:22:56.635131Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
r-base,R is a system for statistical computation and graphics.,active,520,9233866,2023-10-12T12:45:19.885763Z,5,31,0,3,1,3,0,1,1,0
mariadb,MariaDB Server is a high performing open source relational database forked from MySQL.,active,5558,2628305413,2023-10-13T12:25:44.057935Z,5,10,15,3,36,0,3,0,1,0
thrift,DEPRECATED; lacking active maintainer,active,123,2978015,2021-10-01T07:17:20.409086Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
pypy,PyPy is a fast compliant alternative implementation of the Python language.,active,379,39255566,2023-10-26T01:55:41.5695Z,0,131,0,7,1,0,0,1,0,0
django,DEPRECATED; use "python" instead,active,1203,22663834,2017-01-06T17:59:53.097137Z,0,0,6,0,5,0,2,0,0,0
haproxy,HAProxy - The Reliable High Performance TCP/HTTP Load Balancer,active,1878,860210756,2023-10-24T01:35:34.376607Z,0,25,0,0,0,0,0,1,0,0
memcached,Free & open source high-performance distributed memory object caching system.,active,2098,4402857683,2023-10-18T03:38:49.961214Z,1,19,0,0,0,0,0,1,0,0
rabbitmq,RabbitMQ is an open source multi-protocol messaging broker.,active,4912,2644473077,2023-10-27T19:20:54.202109Z,3,9,1,3,0,0,0,0,0,0
oraclelinux,Official Docker builds of Oracle Linux.,active,1026,33006734,2023-10-20T18:56:49.99251Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
odoo,Odoo (formerly known as OpenERP) is a suite of open-source business apps.,active,1267,36911883,2023-10-12T01:40:16.387711Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
rethinkdb,RethinkDB is an open-source document database that makes it easy to build and scale realtime apps.,active,616,74787021,2023-10-12T12:46:29.856516Z,0,36,0,0,0,0,0,1,0,0
iojs,DEPRECATED; use "node" instead,active,143,17327760,2017-03-23T21:40:20.37399Z,2,1,18,1,37,0,8,0,10,0
websphere-liberty,WebSphere Liberty multi-architecture images based on Ubuntu 18.04,active,297,23350967,2023-10-19T03:33:26.992628Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
irssi,irssi - The IRC client of the future,active,169,8046497,2023-10-21T02:39:04.429975Z,1,21,0,1,0,0,0,1,0,0
swarm,DEPRECATED; use "docker swarm init" instead,active,1126,82687845,2020-09-16T20:31:01.272132Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
elasticsearch,Elasticsearch is a powerful open source search and analytics engine that makes data easy to explore.,active,6201,800679612,2023-09-22T01:40:59.572692Z,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
